"학생","n","mean","sd","min","Q1","median","Q3","max","percZero"
"강서대학생",111,33.4834835,18.9357627,0,25,33.3333333,41.6666667,100,9.9099099
"강서대학생",111,56.8918919,19.6683185,10,40,55,70,100,1
"강서대학생",111,45.1876877,15.9377279,9.1666667,35,45.8333333,54.1666667,85,1
"강서대학생",111,17.7927928,24.1650074,0,0,0,25,100,53.1531532
"강서대학생",111,26.1261261,28.2817375,0,0,25,50,100,43.2432432
"강서대학생",111,56.5315315,31.5709359,0,50,50,75,100,13.5135135
"강서대학생",111,61.036036,26.2602111,0,50,50,75,100,4.5045045
"강서대학생",111,56.981982,28.4387642,0,37.5,50,75,100,6.3063063
"강서대학생",111,53.8288288,29.6184445,0,50,50,75,100,12.6126126
"강서대학생",111,71.3963964,24.5057616,0,50,75,100,100,1.8018018
"강서대학생",111,41.2162162,31.3790334,0,25,50,62.5,100,21.6216216
