"통학횟수","이용횟수","n","mean","sd","min","Q1","median","Q3","max","percZero"
"3일","1회 ~ 2회",6,31.9444444,15.2903988,16.6666667,18.75,29.1666667,45.8333333,50,0
"4일","1회 ~ 2회",13,28.8461538,23.2277832,0,16.6666667,25,41.6666667,75,15.3846154
"5일 이상","1회 ~ 2회",6,43.0555556,9.7420433,33.3333333,35.4166667,41.6666667,47.9166667,58.3333333,0
"1일","3회 ~ 4회",1,58.3333333,NA,58.3333333,58.3333333,58.3333333,58.3333333,58.3333333,0
"3일","3회 ~ 4회",9,27.7777778,19.0940654,0,16.6666667,33.3333333,41.6666667,50,22.2222222
"4일","3회 ~ 4회",27,39.1975309,20.1244545,16.6666667,25,33.3333333,45.8333333,100,0
"5일 이상","3회 ~ 4회",4,31.25,10.4858812,16.6666667,29.1666667,33.3333333,35.4166667,41.6666667,0
"3일","5회 이상",9,35.1851852,17.5682092,16.6666667,25,33.3333333,41.6666667,75,0
"4일","5회 이상",17,33.3333333,21.2459146,0,25,33.3333333,50,66.6666667,17.6470588
"5일 이상","5회 이상",19,27.1929825,15.6746693,0,25,33.3333333,33.3333333,50,21.0526316
"3일","1회 ~ 2회",6,43.3333333,6.0553007,35,40,42.5,48.75,50,2
"4일","1회 ~ 2회",13,40.3846154,18.0810143,10,30,35,55,70,3
"5일 이상","1회 ~ 2회",6,58.3333333,9.3094934,45,52.5,60,63.75,70,4
"1일","3회 ~ 4회",1,95,NA,95,95,95,95,95,1
"3일","3회 ~ 4회",9,53.3333333,26.3391344,15,35,50,70,100,2
"4일","3회 ~ 4회",27,63.3333333,18.5015592,35,50,65,77.5,95,3
"5일 이상","3회 ~ 4회",4,51.25,12.5,35,46.25,52.5,57.5,65,4
"3일","5회 이상",9,61.6666667,21.5058132,25,55,60,75,90,2
"4일","5회 이상",17,58.2352941,19.1980774,25,45,55,75,95,3
"5일 이상","5회 이상",19,60.2631579,17.5968498,30,50,70,72.5,85,4
"3일","1회 ~ 2회",6,37.6388889,8.1379882,30,31.4583333,35,42.9166667,50,2
"4일","1회 ~ 2회",13,34.6153846,19.9525345,9.1666667,23.3333333,31.6666667,48.3333333,68.3333333,3
"5일 이상","1회 ~ 2회",6,50.6944444,5.487781,45.8333333,46.6666667,49.1666667,52.9166667,60,4
"1일","3회 ~ 4회",1,76.6666667,NA,76.6666667,76.6666667,76.6666667,76.6666667,76.6666667,1
"3일","3회 ~ 4회",9,40.5555556,11.4791478,24.1666667,35,38.3333333,50,60,2
"4일","3회 ~ 4회",27,51.2654321,15.6455982,28.3333333,40.4166667,48.3333333,60,85,3
"5일 이상","3회 ~ 4회",4,41.25,5.7935149,35.8333333,37.7083333,40,43.5416667,49.1666667,4
"3일","5회 이상",9,48.4259259,15.3401505,20.8333333,35.8333333,50.8333333,59.1666667,67.5,2
"4일","5회 이상",17,45.7843137,17.9492692,12.5,32.5,44.1666667,62.5,68.3333333,3
"5일 이상","5회 이상",19,43.7280702,14.4614441,15,37.5,46.6666667,54.1666667,63.3333333,4
"3일","1회 ~ 2회",6,20.8333333,24.579802,0,0,12.5,43.75,50,50
"4일","1회 ~ 2회",13,13.4615385,29.9572345,0,0,0,0,100,76.9230769
"5일 이상","1회 ~ 2회",6,20.8333333,29.2261299,0,0,12.5,25,75,50
"1일","3회 ~ 4회",1,25,NA,25,25,25,25,25,0
"3일","3회 ~ 4회",9,8.3333333,12.5,0,0,0,25,25,66.6666667
"4일","3회 ~ 4회",27,28.7037037,28.3383605,0,0,25,25,100,29.6296296
"5일 이상","3회 ~ 4회",4,12.5,14.4337567,0,0,12.5,25,25,50
"3일","5회 이상",9,19.4444444,24.2956329,0,0,25,25,75,44.4444444
"4일","5회 이상",17,14.7058824,23.4834109,0,0,0,25,75,64.7058824
