"성별","n","mean","sd","min","Q1","median","Q3","max","percZero"
"남자",36,32.1759259,20.6206071,0,22.9166667,33.3333333,41.6666667,75,16.6666667
"여자",75,34.1111111,18.1839395,0,25,33.3333333,41.6666667,100,6.6666667
"남자",36,55.1388889,17.5045346,25,43.75,55,66.25,100,1
"여자",75,57.7333333,20.6857657,10,40,55,75,95,2
"남자",36,43.6574074,15.244408,12.5,34.5833333,44.1666667,52.0833333,71.6666667,1
"여자",75,45.9222222,16.3089847,9.1666667,35.8333333,46.6666667,57.0833333,85,2
"남자",36,21.5277778,26.8280089,0,0,25,25,100,47.2222222
"여자",75,16,22.7501114,0,0,0,25,100,56
"남자",36,23.6111111,29.847496,0,0,0,50,100,52.7777778
"여자",75,27.3333333,27.6235961,0,0,25,50,100,38.6666667
"남자",36,51.3888889,31.5913892,0,25,50,75,100,19.4444444
"여자",75,59,31.472854,0,50,50,87.5,100,10.6666667
"남자",36,60.4166667,23.4330353,0,50,50,75,100,2.7777778
"여자",75,61.3333333,27.6602619,0,50,75,75,100,5.3333333
"남자",36,54.8611111,25.9253354,0,25,50,75,100,2.7777778
"여자",75,58,29.68301,0,50,50,75,100,8
"남자",36,53.4722222,30.561868,0,50,50,75,100,16.6666667
"여자",75,54,29.362598,0,37.5,50,75,100,10.6666667
"남자",36,68.75,25.6173769,0,50,75,75,100,2.7777778
"여자",75,72.6666667,24.0260744,0,50,75,100,100,1.3333333
"남자",36,38.1944444,27.0489709,0,25,50,50,100,22.2222222
"여자",75,42.6666667,33.3322072,0,25,25,75,100,21.3333333
