이용이유	n	mean	sd	min	Q1	median	Q3	max	percZero
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	34.9765258	19.4477178	0	25	33.3333333	41.6666667	100	9.8591549
통학에 가장 적절한 교통수단이어서	15	38.3333333	15.3659074	16.6666667	33.3333333	33.3333333	45.8333333	75	0
통학하는데 다른 마땅한 교통 수단이 없어서	25	26.3333333	18.1110259	0	16.6666667	25	41.6666667	75	16
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	57.8873239	17.8217758	25	47.5	55	70	100	1
통학에 가장 적절한 교통수단이어서	15	69	20.2837021	15	62.5	75	82.5	95	2
통학하는데 다른 마땅한 교통 수단이 없어서	25	46.8	20.1494417	10	35	40	55	90	3
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	46.4319249	14.8244911	12.5	37.0833333	46.6666667	54.1666667	85	1
통학에 가장 적절한 교통수단이어서	15	53.6666667	13.832903	24.1666667	47.5	54.1666667	61.25	75	2
통학하는데 다른 마땅한 교통 수단이 없어서	25	36.5666667	16.8725478	9.1666667	25	34.1666667	44.1666667	67.5	3
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	19.3661972	25.0703236	0	0	25	25	100	49.2957746
통학에 가장 적절한 교통수단이어서	15	20	27.0581385	0	0	0	25	75	53.3333333
통학하는데 다른 마땅한 교통 수단이 없어서	25	12	19.2570333	0	0	0	25	75	64
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	27.8169014	29.4440437	0	0	25	50	100	42.2535211
통학에 가장 적절한 교통수단이어서	15	31.6666667	25.819889	0	25	25	50	100	20
통학하는데 다른 마땅한 교통 수단이 없어서	25	18	25.5359224	0	0	0	25	75	60
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	57.7464789	30.0569547	0	50	50	75	100	11.2676056
통학에 가장 적절한 교통수단이어서	15	63.3333333	32.5503273	0	50	50	100	100	6.6666667
통학하는데 다른 마땅한 교통 수단이 없어서	25	49	34.9702254	0	25	50	75	100	24
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	62.3239437	24.9546873	0	50	50	75	100	2.8169014
통학에 가장 적절한 교통수단이어서	15	71.6666667	26.5024707	0	62.5	75	87.5	100	6.6666667
통학하는데 다른 마땅한 교통 수단이 없어서	25	51	27.4620951	0	25	50	75	100	8
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	58.0985915	25.9720481	0	50	50	75	100	2.8169014
통학에 가장 적절한 교통수단이어서	15	73.3333333	30.5699822	0	62.5	75	100	100	6.6666667
통학하는데 다른 마땅한 교통 수단이 없어서	25	44	29.1190087	0	25	50	75	100	16
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	53.1690141	28.6386282	0	50	50	75	100	12.6760563
통학에 가장 적절한 교통수단이어서	15	71.6666667	29.680842	0	62.5	75	100	100	6.6666667
통학하는데 다른 마땅한 교통 수단이 없어서	25	45	28.8675135	0	25	50	50	100	16
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	72.1830986	22.9709816	25	50	75	100	100	0
통학에 가장 적절한 교통수단이어서	15	83.3333333	18.0936716	50	75	75	100	100	0
통학하는데 다른 마땅한 교통 수단이 없어서	25	62	28.9755644	0	50	75	75	100	8
"강서대학교, 지하철 역 근처에 하차할 수 있어서"	71	43.6619718	30.3898214	0	25	50	75	100	15.4929577
통학에 가장 적절한 교통수단이어서	15	45	30.1780431	0	25	50	62.5	100	20
통학하는데 다른 마땅한 교통 수단이 없어서	25	32	34.247871	0	0	25	50	100	40
